Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,272.544938392357,252.839903165503,178.658484494689,217.649550692,311.508971303572,368.81085286989,382.179374341623,385.86198392732,403.338053304628,172.331880060114,67.6150101356144,420.682041133745,131.347086007225,60.7071565362121,57.6526922278532,53.3260024692643,47.6599820960034,40.712332588076,43.5262440807793,39.3721785709585,37.1252358306038,38.2510338146246,44.6581240161369,..
Aruba,ABW,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,103.8069269189,96.4530921803,92.6692781644,99.0407406487,103.446580885,114.3763044791,117.5171804938,118.4826195857,128.5061326768,92.6955162787,98.3756597683,107.1093788306,108.9783021337,115.0496082487,110.2434069099,100,101.5840108876,103.0327938722,101.4970763026,99.4275153863,79.1342950803,94.8633113508,..,..
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Net migration,SM.POP.NETM,1235,560,350,324,315,579,569,621,666,703,498,315,229,134,88,177,170,218,367,412,0,501,164,157
Aruba,ABW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1083798.88268156,1335195.53072626,1329608.93854749,273743.016759777,1458100.55865922,819846.096273242,1036166.00246323,5195530.72625699,6759776.53631285,9050279.32960894,4972067.03910614,5307262.5698324,4860335.19553072,58146742.3052803,58627995.0761846,53640100.5182244,52684335.9800863,56140485.0473226,36920295.448098,34264018.270972,34984040.4172566,35845637.1605112,38279493.4539565,37717579.0260779
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-127932960.893855,-266927374.301676,332513966.480447,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,272088145.377015,208344037.245165,-26881396.993856,27550827.0999312,162456842.302022,144146269.421966,-75226540.6843182,161066979.086053,133545121.178455,248150282.616618,-177942150
Aruba,ABW,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,11500000,-1700000.04768372,10489999.7711182,76220001.2207031,-11319999.6948242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
